nama,kalori,lemak,karbohidrat,protein
Mi Goreng,380,17g,49g,"7,2g"
Rasa Ayam Bawang,310,11g,43g,7g
Rasa Soto Mie,320,13g,44g,7g
Mi Goreng Aceh,430,19g,55g,9g
Kari Ayam,330,14g,43g,7g
Mie Rebus,300,11g,43g,7g
Mi Goreng Rendang,440,20g,57g,8g
Mi Goreng Jumbo,540,23g,74g,11g
Mie Nyemek Bangladesh,380,16g,50g,7g
Mi Goreng Ayam Geprek,410,19g,52g,8g
Sambal Goreng,15,"0,41g","1,56g","1,37g"
Sambal Pedas,35,2g,4g,1g
Sambal Terasi Uleg,50,3g,6g,1g
Sambal Rawit,25,"1,5g",3g,1g
Sambal Terasi,15,"0,5g",2g,0g
Sambal Terasi Rebus,73,"3,05g","11,02g","1,84g"
Sambal Matah,21,"1,54g","1,79g","0,44g"
Sambal Bawang,30,"2,5g",1g,0g
Sambal Ijo,45,3g,4g,1g
Sambal Geprek,25,"1,5g",2g,0g
